date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:18	13678/13678	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:20%20GMT	https://sosyalmedyahizmetlerim.com/resetpassword	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/resetpassword.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	257930/257930	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2007:05:20%20GMT	https://sosyalmedyahizmetlerim.com/img/main-img.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/main-img.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	2208/2208	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:50:32%20GMT	https://sosyalmedyahizmetlerim.com/img/icon1.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon1.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	522534/522534	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:41:20%20GMT	https://sosyalmedyahizmetlerim.com/img/main-img2.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/main-img2.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:18	2446/2446	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:56:28%20GMT	https://sosyalmedyahizmetlerim.com/img/icon2.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon2.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:19	2400/2400	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:55:10%20GMT	https://sosyalmedyahizmetlerim.com/img/icon3.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon3.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:19	2363/2363	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2017:53:24%20GMT	https://sosyalmedyahizmetlerim.com/img/icon4.png	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/img/icon4.png	(from https://sosyalmedyahizmetlerim.com/)
16:14:20	18095/18095	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:22%20GMT	https://sosyalmedyahizmetlerim.com/terms	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/terms.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:20	21091/21091	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:14:23%20GMT	https://sosyalmedyahizmetlerim.com/faq	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/faq.html	(from https://sosyalmedyahizmetlerim.com/)
16:14:21	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/kemal/Desktop/ssss/code.jquery.com/jquery-3.5.1.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:21	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/Users/kemal/Desktop/ssss/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:22	850/850	---MC-	200	added ('OK')	text/javascript	date:Sun,%2025%20Sep%202022%2013:14:25%20GMT	https://www.google.com/recaptcha/api.js?hl=tr	C:/Users/kemal/Desktop/ssss/www.google.com/recaptcha/api9e3e.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:22	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-17b8b%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/kemal/Desktop/ssss/cdnjs.cloudflare.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:22	9585/9585	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2012%20Dec%202021%2003:08:30%20GMT	https://sosyalmedyahizmetlerim.com/js/panel/yeti/script.js	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/js/panel/yeti/script.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:23	18598/18598	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Feb%202021%2020:13:32%20GMT	https://sosyalmedyahizmetlerim.com/js/main.js	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/js/main.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:23	60180/60180	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2020%20Oct%202021%2015:42:34%20GMT	https://sosyalmedyahizmetlerim.com/js/panel/yeti/bootstrap.js	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/js/panel/yeti/bootstrap.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:23	34180/34180	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Feb%202021%2014:45:59%20GMT	https://sosyalmedyahizmetlerim.com/js/datepicker/js/bootstrap-datepicker.min.js	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/js/datepicker/js/bootstrap-datepicker.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:14:24	495/495	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Feb%202021%2014:45:59%20GMT	https://sosyalmedyahizmetlerim.com/js/datepicker/locales/bootstrap-datepicker.tr.min.js	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/js/datepicker/locales/bootstrap-datepicker.tr.min.js	(from https://sosyalmedyahizmetlerim.com/)
16:15:08	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/Users/kemal/Desktop/ssss/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
16:15:09	23678/23678	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:12%20GMT	https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.26.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:10	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:13%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:10	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.28.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:10	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:13%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:10	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.2a.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:11	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:13%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:11	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.2c.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:11	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:14%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:11	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.2e.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:11	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:15%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
